dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
yahoo_subset,d-federaser,LS,,0.1,3,"42,43,44",0.6509597015443721,0.011647025635945319,0.5979660524612429,0.010145021880435643,0.4706407407407407,0.03871362020755437,,,,,,,,
yahoo_subset,d-federaser,LS,,0.2,3,"42,43,44",0.6594467278602986,0.003194329273905233,0.6321297788101828,0.0031224089858158167,0.47746666666666665,0.04040449899571396,,,,,,,,
yahoo_subset,d-federaser,LS,,0.3,3,"42,43,44",0.6854785842594477,0.007936684406371738,0.6419908279111748,0.009162712997557014,0.4712444444444445,0.042823015041960226,,,,,,,,
yahoo_subset,d-federaser,LS,,0.4,3,"42,43,44",0.6823301231455761,0.012403977638003048,0.646039857550004,0.0003966704734716144,0.47307037037037036,0.04122744534478292,,,,,,,,
yahoo_subset,d-federaser,LS,,0.5,3,"42,43,44",0.6839734734122493,0.0071428307124591,0.6451392240679473,0.003387173374125516,0.47158148148148143,0.04227330470650864,,,,,,,,
yahoo_subset,d-federaser,LS,,0.6,3,"42,43,44",0.6868727840180705,0.007022909815431958,0.6476194371320078,0.008156137510866582,0.47198518518518523,0.04519315867718095,,,,,,,,
yahoo_subset,d-federaser,LS,,0.7,3,"42,43,44",0.6770331278694899,0.003334609932523318,0.6439595880553878,0.010419341094005663,0.47288148148148157,0.04891496975485083,,,,,,,,
yahoo_subset,d-federaser,LS,,0.8,3,"42,43,44",0.6867096911769591,0.006190109551163779,0.6393001409986874,0.013947027490379642,0.4739962962962963,0.04777398118708183,,,,,,,,
yahoo_subset,d-federaser,LS,,0.9,3,"42,43,44",0.6869834579531209,0.004970227747507093,0.6390130541173575,0.011370139481616495,0.47374444444444447,0.04859206102916122,,,,,,,,
yahoo_subset,d-federaser,LS,,1.0,3,"42,43,44",0.6834746860232964,0.0026816146869450045,0.6387963653641985,0.010194335054744603,0.47377407407407407,0.04773610614518092,,,,,,,,
yahoo_subset,d-fedosd,AS,1,,3,"42,43,44",0.3340934592478112,0.18024689569952865,0.3340934592478112,0.18024689569952865,0.4870999999999999,0.04682228814001579,2.1785280183940876,0.40439105546163845,0.5775215124266393,0.1063383974574826,0.014247980409271352,0.003480737655946051,0.015521923700968424,0.0007452064832563096
yahoo_subset,d-fedosd,AS,2,,3,"42,43,44",0.38709721977738554,0.042400618038228505,0.38709721977738554,0.042400618038228505,0.5596,0.10701563748661529,1.180326565877363,0.20099122427048,0.4418019887525155,0.06782694921671503,0.0751023683024334,0.00828277426899331,0.2016587257385254,0.016418518804248355
yahoo_subset,d-fedosd,AS,3,,3,"42,43,44",0.5946308220313797,0.10625550124708283,0.5946308220313797,0.10625550124708283,0.5258777777777777,0.06491508033054404,0.7359371020772195,0.02517712061177268,0.3134774738360333,0.008999741274698988,0.05807988967383558,0.0223655115496825,0.1819023291269938,0.02422788710712562
yahoo_subset,d-fedosd,AS,4,,3,"42,43,44",0.636660007768165,0.05265041087836442,0.5507318188337654,0.05393574076010496,0.49586250000000004,0.07000189803974363,0.6347752169721309,0.008546068670973258,0.16841443724329755,0.022368955581569965,0.08285939653858493,0.02354919154864508,0.18294080098470053,0.011911569991077587
